CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL3585784	1948996	CHEMBL3585784	1948996		26	260.31	.56	90.65	0	COc1cccc(OC)c1C(C)NS(=O)(=O)N	15631668	Ki	=	.0081	nM		Ki	=	8.1	pM		Outside typical range	0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1501472	CHEMBL3588578	B	Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	92644	CHEMBL3585326	25921269	Bioorg. Med. Chem.	2015	23	13	3592					
CHEMBL2064464	1357872	CHEMBL2064464	1357872		5b	477.7	4.32	51.71	0	CN(CCC(=O)N1CCN(CCNc2c3CCCCc3nc4ccccc24)CC1)C5CCCCC5	10967487	Ki	=	.38	nM	9.42	Ki	=	.38	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	831935	CHEMBL2066009	B	Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	62862	CHEMBL2062461	22818849	Eur. J. Med. Chem.	2012	55		23					
CHEMBL3401207	1831406	CHEMBL3401207	1831406		14a	170.17	.28	55.45	0	CN(C)C(=O)N1OC(=CC1=O)C	15164400	Ki	=	1.22	mM/min		Ki	=	1.22	mM/min		Non standard unit for type	0	BAO_0000192			1464963	CHEMBL3404668	B	Inhibition of recombinant human AChE	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	91094	CHEMBL3399922	25684426	Bioorg. Med. Chem.	2015	23	6	1321					
CHEMBL2164776	1428207	CHEMBL2219818	1449629		7, metacarb	353.42	1.84	91.34	0	Cl.CC(C)NCC(O)c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1	12087665	Ki	=	2.3	10'3/M/min		Ki	=	2.3	10'3/M/min		Non standard unit for type	0	BAO_0000192			859153	CHEMBL2169569	B	Inhibition of human AChE using acetylthiocholine as substrate assessed as inhibition rate constant by Ellman's method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	65848	CHEMBL2163243	22817559	J. Med. Chem.	2012	55	15	6716					
CHEMBL2348366	1530204	CHEMBL2348366	1530204		4b	277.19	3.17	78.67	0	CCP(=O)(OCCF)Oc1ccc(cc1)[N+](=O)[O-]	12726500	Ki	=	6.16	10'4/M/min		Ki	=	6.16	10'4/M/min		Non standard unit for type	0	BAO_0000192			954154	CHEMBL2351669	B	Inhibition of human recombinant AChE by concentration-dependent inhibition assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	72804	CHEMBL2346590	23453838	Bioorg. Med. Chem. Lett.	2013	23	7	2048					
CHEMBL418955	150040	CHEMBL418955	150040		table 1 ID 54	350.46	4.68	38.5	0	COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1	1471127	Ki	=	8.318	nM	8.08	Log Ki	=	-8.08				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL2064468	1357876	CHEMBL2064468	1357876		6b	463.71	4.8	34.64	0	CN(CCCN1CCN(CCNc2c3CCCCc3nc4ccccc24)CC1)C5CCCCC5	10967483	Ki	=	10.3	nM	7.99	Ki	=	10.3	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	831935	CHEMBL2066009	B	Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	62862	CHEMBL2062461	22818849	Eur. J. Med. Chem.	2012	55		23					
CHEMBL189774	313665	CHEMBL189774	313665		table 1 ID 67	388.51	2.86	48.64	0	COCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1	1471270	Ki	=	30.2	nM	7.52	Log Ki	=	-7.52				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL3632994	1970248	CHEMBL3632994	1970248		7u	592.22	8.05	83.48	2	Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCCCNc3c4CCCCc4nc5cc(Cl)ccc35	15771112	Ki	=	49.5	nM	7.3	Ki	=	49.5	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1525947	CHEMBL3635771	B	Competitive inhibition of human recombinant AChE using acetylthiocholine as substrate preincubated for 5 mins followed by substrate addition measured every 2 mins by Lineweaver-Burk plot analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	93962	CHEMBL3632576	26503905	J. Med. Chem.	2015	58	22	8985					
CHEMBL464538	463219	CHEMBL140020	226754		23, BW-28C51	406.61	5.33	17.07	1	[Br-].[Br-].C[N+](C)(CC=C)c1ccc(CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C)cc1	5195579	Ki	=	50	nM	7.3	Ki	=	.05	uM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	718132	CHEMBL1671585	B	Dissociation constant for enzyme-inhibitor-substrate complex of human recombinant AChE by Lineweaver-Burk plot analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	55390	CHEMBL1667816	21236521	Eur. J. Med. Chem.	2011	46	2	811					
