CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL1159688	641227	CHEMBL330949	199287		11n	527.63	2.45	148.61	1	NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c3ccccc3)c4ccccc4)cc1.OC(=O)C(F)(F)F	1228568	Ki	=	.015	nM	10.82	Ki	=	.015	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208337	CHEMBL813569	B	Binding affinity against human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			5407	CHEMBL1135262	11909707	Bioorg. Med. Chem. Lett.	2002	12	7	1017					
CHEMBL353760	276305	CHEMBL353760	276305		8b	555.75	2.57	155.8	1	CN[C@H](CC1CCCCC1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)c3nc4ccccc4s3	1164968	Ki	=	.018	nM	10.74	Ki	=	.018	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208309	CHEMBL812829	B	Binding affinity to human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			17680	CHEMBL1148408	14761180	J. Med. Chem.	2004	47	4	769					
CHEMBL1159694	641233	CHEMBL1200085	674035		11o	469.59	2.74	125.3	0	N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N.OC(=O)C(F)(F)F	1238734	Ki	=	.036	nM	10.44	Ki	=	.036	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208337	CHEMBL813569	B	Binding affinity against human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			5407	CHEMBL1135262	11909707	Bioorg. Med. Chem. Lett.	2002	12	7	1017					
CHEMBL1159690	641229	CHEMBL1199309	673259		11j	595.64	2.77	170.23	2	COP(O)(O)(N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N)OC.OC(=O)C(F)(F)F	1253893	Ki	=	.044	nM	10.36	Ki	=	.044	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208337	CHEMBL813569	B	Binding affinity against human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			5407	CHEMBL1135262	11909707	Bioorg. Med. Chem. Lett.	2002	12	7	1017					
CHEMBL196035	325936	CHEMBL196035	325936		13	534.35	3.67	111.67	1	[O-][n+]1c(NCC(F)(F)c2ccccn2)ccc(Cl)c1CC(=O)NCc3cc(Cl)ccc3n4cncn4	1523128	Ki	=	.05	nM	10.3	Ki	=	.05	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	302401	CHEMBL829646	B	Binding affinity against thrombin in human plasma	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	20452	CHEMBL1145272	15911253	Bioorg. Med. Chem. Lett.	2005	15	11	2771					
CHEMBL418965	154005	CHEMBL418965	154005		20	544.48	4.04	97.28	1	ClC1=CN=C2N[C@@H](Cc3ccccc3)CNCCCCCOc4ccc(Cl)cc4CNC(=O)CN1C2=O	521329	Ki	=	.05	nM	10.3	Ki	=	.05	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208517	CHEMBL817243	B	Inhibitory activity against thrombin IIa	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			5708	CHEMBL1136169	12873514	Bioorg. Med. Chem. Lett.	2003	13	16	2781					
CHEMBL431524	64548	CHEMBL431524	64548		9	512.01	2.69	114.35	1	CCNC(=O)COc1ccc(Cl)cc1CNC(=O)CN2C(=CN=C(NCCc3ccccc3)C2=O)C	418814	Ki	=	.07	nM	10.15	Ki	=	.07	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208491	CHEMBL811966	B	Inhibition of thrombin in human plasma	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	5813	CHEMBL1145868	12482415	Bioorg. Med. Chem. Lett.	2003	13	2	161					
CHEMBL437999	173004	CHEMBL437999	173004		7	2125.28				CC[C@@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN(C)CC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](N)Cc3ccccc3)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O	1218742	Ki	=	.083	nM	10.08	Ki	=	.000000000083	M			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208546	CHEMBL814315	B	Inhibitory constant against thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			15062	CHEMBL1132149	10447955	J. Med. Chem.	1999	42	16	3109					
CHEMBL1289648	716056	CHEMBL1289648	716056		4	543.5	3.02	100.08	1	ClC1=CN=C2N[C@@H](Cc3ccccc3)CNCCCNCCc4ccc(Cl)cc4CNC(=O)CN1C2=O	3591411	Ki	=	.09	nM	10.05	Ki	=	.09	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	687650	CHEMBL1290974	B	Inhibition of factor 2a	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			54042	CHEMBL1287717	21035339	Bioorg. Med. Chem. Lett.	2010	20	23	6925					
CHEMBL103738	167609	CHEMBL103738	167609		16	501.89	1.79	132.51	1	FC(F)(CNC1=NC=C(Cl)N(CC(=O)NCc2ccccc2n3cnnn3)C1=O)c4ccccn4	1129164	Ki	=	.096	nM	10.02	Ki	=	.096	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208532	CHEMBL813626	B	Inhibitory potency against human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			17839	CHEMBL1149168	15163182	J. Med. Chem.	2004	47	12	2995					
CHEMBL427125	297194	CHEMBL427125	297194		65	567.69	1.98	155.8	1	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NC(CCCN=C(N)N)C(=O)c3nc4ccc(F)cc4s3	1404500	Ki	=	.15	nM	9.82	Ki	=	.15	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	302621	CHEMBL838818	B	Binding affinity determined against human alpha thrombin	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	21585	CHEMBL1142732	15771442	J. Med. Chem.	2005	48	6	1984					
CHEMBL284756	46427	CHEMBL284756	46427		8a	570.5	2.37	130.35	1	COC(=O)C(CSc1ccc(Cl)c(Cl)c1)N2C(=O)N3CC=CC(N3C2=O)C(=O)NC[C@@H]4CC[C@@H](N)CC4	1156307	Ki	=	.24	nM	9.62	Ki	=	.24	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208514	CHEMBL817240	B	Inhibitory activity against human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			6242	CHEMBL1145743	12668009	Bioorg. Med. Chem. Lett.	2003	13	8	1445					
CHEMBL25845	38390	CHEMBL25845	38390		16	484.29	2.7	102.96	0	[O-][n+]1ccccc1C(F)(F)CNC2=NC=C(Cl)N(CC(=O)NCc3cccc(Cl)c3)C2=O	537414	Ki	=	.26	nM	9.59	Ki	=	.26	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208518	CHEMBL879191	B	Inhibitory activity against human thrombin	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			6227	CHEMBL1136692	12657281	Bioorg. Med. Chem. Lett.	2003	13	7	1353					
CHEMBL2370858	1545309	CHEMBL2370858	1545309		5	485.61	.43	169.79	0	N[C@@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)c3nccs3	364729	Ki	=	.3	nM	9.52	Ki	=	.3	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208329	CHEMBL813561	B	Inhibitory activity against thrombin.	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			16671	CHEMBL1135821	12238922	J. Med. Chem.	2002	45	20	4419					
CHEMBL2370455	1544906	CHEMBL2370455	1544906		IIb	2548.66				CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)N)NC(=O)CCC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc4ccccc4)NC(=O)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc6ccc(O)cc6)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O	228846	Ki	=	.37	nM	9.43	Ki	=	.37	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208343	CHEMBL873987	B	Compound was evaluated for their ability to inhibit the alpha-thrombin-mediated hydrolysis of the fluorescent substrate Tos-Gly-Pro-Arg-Amc	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			11410	CHEMBL1126115	1527782	J. Med. Chem.	1992	35	18	3331					
CHEMBL7962	2684	CHEMBL7962	2684		4	493.63	2.92	128.38	0	CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(=N)NN)NS(=O)(=O)c3ccc4ccccc4c3	994476	Ki	=	.38	nM	9.42	Ki	=	.38	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208352	CHEMBL813662	B	Compound was tested for inhibitory activity against human thrombin	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			3022	CHEMBL1131651	9871573	Bioorg. Med. Chem. Lett.	1998	8	6	631					
CHEMBL2204325	1443938	CHEMBL2204325	1443938		17, n=0, macrocycle1	490.99	1.52	116.84	0	Clc1ccc2OCC(=O)NCC(=O)N[C@H](C3CCCCC3)C(=O)N4CCC[C@H]4C(=O)NCc2c1	12165559	Ki	=	.4	nM	9.4	Ki	=	.4	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	879249	CHEMBL2208602	B	Inhibition of thrombin	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			66807	CHEMBL2203227	21381769	J. Med. Chem.	2011	54	7	1961					
CHEMBL195776	326112	CHEMBL195776	326112		11	469.32	3.88	84.12	0	OC(Cc1c(Cl)ccc(NCC(F)(F)c2ccccn2)[n+]1[O-])NCc3cccc(Cl)c3	1523123	Ki	=	.42	nM	9.38	Ki	=	.42	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	302401	CHEMBL829646	B	Binding affinity against thrombin in human plasma	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	20452	CHEMBL1145272	15911253	Bioorg. Med. Chem. Lett.	2005	15	11	2771					
CHEMBL2448377	1590525	CHEMBL3545781	1927627		19	657.61				Cl.CC1(C)[C@@H]2C[C@H]3OB(O[C@@]3(C)[C@H]1C2)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)c5cccc(Sc6ccccc6C(F)(F)F)c5	431644	Ki	=	.45	nM	9.35	Ki	=	.45	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208891	CHEMBL814948	B	Binding affinity to human thrombin.	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			1952	CHEMBL1128965		Bioorg. Med. Chem. Lett.	1996	6	3	301					
CHEMBL190075	319481	CHEMBL190075	319481		2	475.98	3.32	95.66	0	NCc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)C3(O)c4ccccc4c5ccccc35	1498308	Ki	=	.49	nM	9.31	Ki	=	.49	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	302313	CHEMBL828902	B	Inhibition of coagulation factor II (thrombin) of human	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	21616	CHEMBL1145209	15801822	J. Med. Chem.	2005	48	7	2282					
CHEMBL167741	275734	CHEMBL167741	275734		4g	572.77	6.3	65.4	2	COc1cc(Cc2c(sc3cc(O)ccc23)c4ccc(OCCN5CCCC5CO)cc4)ccc1CN6CCCC6	879116	Ki	=	.5	nM	9.3	Ki	=	.5	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	209092	CHEMBL813433	B	Binding inhibition against thrombin was measured by nonlinear regression analysis using Morrison's equation for tight-binding inhibition	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			3556	CHEMBL1132684	10201846	Bioorg. Med. Chem. Lett.	1999	9	5	775					
CHEMBL370396	329911	CHEMBL370396	329911		32	501.97	4.97	84.9	1	FC(F)CN1CCCCC1CCNc2nccc3oc(Cc4cc(Cl)ccc4n5cncn5)nc23	1613641	Ki	=	.52	nM	9.28	Ki	=	.52	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	320755	CHEMBL884569	B	Inhibitory constant against thrombin	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	30036	CHEMBL1142745	16137886	Bioorg. Med. Chem. Lett.	2005	15	20	4411					
CHEMBL162452	273019	CHEMBL162452	273019		1i	490.61	1.44	142.65	0	NC(=N)c1ccc(CC(=O)CN2CCCC[C@H](NS(=O)(=O)c3ccc4OCCc4c3)C2=O)s1	1123660	Ki	=	.6	nM	9.22	Ki	=	.6	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208524	CHEMBL813619	B	Inhibitory constant against human thrombin (FIIa) determined in vitro	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			5356	CHEMBL1135220	11858993	Bioorg. Med. Chem. Lett.	2002	12	5	743					
CHEMBL2371885	1546336	CHEMBL2371885	1546336		TI2	2796.92				CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]2CCCCN2C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c3ccc(cc3)C(C)(C)C)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O	1661896	Ki	=	.6	nM	9.22	Ki	=	.6	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	325957	CHEMBL863455	F	Inhibitory activity against human thrombin by amidolytic assay using chromogenic S-2238 substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	30343	CHEMBL1141203	16202582	Bioorg. Med. Chem. Lett.	2005	15	23	5120					
CHEMBL254962	426132	CHEMBL254962	426132		24	512.51	1.38	170.19	1	CS(=O)(=O)c1ccccc1C(F)(F)CNc2ccc(C#N)c(CC(=O)NCCONC(=N)N)c2F	2166509	Ki	=	.65	nM	9.19	Ki	=	.65	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	479759	CHEMBL934691	B	Binding affinity to human thrombin	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	39535	CHEMBL1145621	18420408	Bioorg. Med. Chem. Lett.	2008	18	9	2865					
CHEMBL190687	319545	CHEMBL190687	319545		23b (Diastereomer)	492.96	1.96	122.6	0	NCc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)C3(O)c4ccccc4c5c[n+]([O-])ccc35	1498741	Ki	=	.77	nM	9.11	Ki	=	.77	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	302313	CHEMBL828902	B	Inhibition of coagulation factor II (thrombin) of human	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	21616	CHEMBL1145209	15801822	J. Med. Chem.	2005	48	7	2282					
CHEMBL2448354	1590502	CHEMBL320897	162317		1	375.28				Cl.NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CCc2ccccc2)B(O)O	369683	Ki	=	.8	nM	9.1	Ki	=	.8	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208898	CHEMBL814955	B	Compound was evaluated for the inhibitory activity against thrombin.	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			1951	CHEMBL1129708		Bioorg. Med. Chem. Lett.	1996	6	3	295					
CHEMBL45480	72624	CHEMBL45480	72624		5	483.59	2.34	136.18	0	CCCC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C	915089	Ki	=	.85	nM	9.07	Ki	=	.85	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208345	CHEMBL813655	B	Compound was evaluated to inhibit the thrombin enzyme	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			2652	CHEMBL1130870	9873422	Bioorg. Med. Chem. Lett.	1998	8	13	1719					
CHEMBL270252	434245	CHEMBL270252	434245		24	472.57	.73	141.11	0	CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1Cc3c(C)ncn3CC(=O)NCCN	2114538	Ki	=	.9	nM	9.05	Ki	=	.9	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	464664	CHEMBL933925	B	Inhibition of thrombin	1	Scientific Literature				Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			38473	CHEMBL1142247	18291642	Bioorg. Med. Chem. Lett.	2008	18	6	2062					
CHEMBL1161499	643038	CHEMBL1161499	643038		CVS-2097	554.63	-.89	221.08	2	COC(=O)c1ccccc1CS(=O)(=O)N[C@H]2CCCCN(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C2=O	1130962	Ki	=	.95	nM	9.02	Ki	=	.95	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	208524	CHEMBL813619	B	Inhibitory constant against human thrombin (FIIa) determined in vitro	1	Scientific Literature				Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	8	Homologous protein			5356	CHEMBL1135220	11858993	Bioorg. Med. Chem. Lett.	2002	12	5	743					
CHEMBL3114555	1617525	CHEMBL3139299	1628630		6	413.97	1.77	95.66	0	CC(C)(C)[C@@H](O)C(=O)N1CCSC[C@H]1C(=O)NCc2cc(Cl)ccc2CN.OC(=O)C(F)(F)F	13900240	Ki	=	1.1	nM	8.96	Ki	=	1.1	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1291601	CHEMBL3118957	B	Inhibition of thrombin (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	76904	CHEMBL3112494	24461292	Bioorg. Med. Chem. Lett.	2014	24	4	1111					
CHEMBL179210	297130	CHEMBL179210	297130		14	596.76	4.44	141.27	1	NC(=N)NCCCC(NC(=O)[C@@H]1CCCN1C(=O)CC(c2ccccc2)c3ccccc3)C(=O)c4nc5ccccc5s4	1406025	Ki	=	1.1	nM	8.96	Ki	=	1.1	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	302621	CHEMBL838818	B	Binding affinity determined against human alpha thrombin	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	21585	CHEMBL1142732	15771442	J. Med. Chem.	2005	48	6	1984					
CHEMBL257543	425542	CHEMBL257543	425542		14	435.41	1.37	148.94	0	NC(=N)NOCCNC(=O)Cc1c(F)c(NCC(F)(F)c2ccccn2)ccc1C#N	2166519	Ki	=	1.2	nM	8.92	Ki	=	1.2	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	479759	CHEMBL934691	B	Binding affinity to human thrombin	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	39535	CHEMBL1145621	18420408	Bioorg. Med. Chem. Lett.	2008	18	9	2865					
CHEMBL1083499	614783	CHEMBL1083499	614783		8, RWJ-671818	423.42	.29	147.15	0	CC1=CN=C(NCC(F)(F)c2ccccc2)C(=O)N1CC(=O)NCCONC(=N)N	3208406	Ki	=	1.3	nM	8.89	Ki	=	1.3	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	617811	CHEMBL1100517	B	Inhibition of human alpha-thrombin	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11	CHEMBL204	SINGLE PROTEIN	P00734	Thrombin	Homo sapiens	9	Protein	Trypsin	high	50418	CHEMBL1154904	20102150	J. Med. Chem.	2010	53	4	1843					
